id;ison;symbol;long_name;short_name;symbol_unique;symbol_alternative;;;;;;
AFN;971;؋;Afghani;afghani;؋;;;;;;;
DZD;12;DA;Algerian Dinar;dinar;DA;;;;;;;
ARS;32;$;Argentine peso;peso;$Ar;;;;;;;
AMD;51;֏;Armenian Dram;dram;֏;;;;;;;
AWG;533;ƒ;Aruban florin;florin;Afl;;;;;;;
AUD;36;$;Australian dollar;dollar;$Au;;;;;;;
AZN;944;₼;Azerbaijan Manat;manat;₼;;;;;;;
BSD;44;$;Bahamian dollar;dollar;$BS;;;;;;;
BHD;48;BD;Bahraini Dinar;dinar;BD;;;;;;;
THB;764;฿;Baht;baht;฿;;;;;;;
PAB;590;B/.;Balboa;balboa;B/.;;;;;;;
BBD;52;$;Barbados Dollar;dollar;$Bds;;;;;;;
BYN;933;Rbl;Belarusian ruble;ruble;Rbl;Br;;;;;;
BZD;84;BZ$;Belize Dollar;dollar;BZ$;;;;;;;
BMD;60;$;Bermudian dollar;dollar;$BM;;;;;;;
VES;928;Bs.S;Bolívar Soberano;soberano;Bs.S;;;;;;;
BOB;68;$b;Boliviano;boliviano;$b;Bs;;;;;;
BRL;986;R$;Brazilian real;real;R$;;;;;;;
BND;96;$;Brunei dollar;dollar;$BN;;;;;;;
BGN;975;lev;Bulgarian lev;lev;ле;лв;;;;;;
BIF;108;Fr;Burundi Franc;franc;FrBI;;;;;;;
CVE;132;$;Cabo Verde Escudo;escudo;$CV;;;;;;;
CAD;124;$;Canadian dollar;dollar;$CA;;;;;;;
KYD;136;$;Cayman Islands Dollar;dollar;$KY;;;;;;;
XOF;952;Fr;CFA Franc BCEAO;franc;Fr(XOF);;;;;;;
XAF;950;Fr;CFA Franc BEAC;franc;Fr(XAF);;;;;;;
XPF;953;Fr;CFP Franc;franc;FrXP;;;;;;;
CLP;152;$;Chilean peso;peso;$CI;;;;;;;
COP;170;$;Colombian peso;peso;$CO;;;;;;;
KMF;174;Fr;Comorian Franc;franc;FrKM;;;;;;;
CDF;976;Fr;Congolese franc;franc;FrCD;;;;;;;
BAM;977;KM;Convertible Mark;mark;KM;;;;;;;
NIO;558;C$;Cordoba Oro;oro;C$;;;;;;;
CRC;188;₡;Costa Rican Colon;colon;₡;;;;;;;
HRK;191;kn;Croatia Kuna;kuna;kn;;;;;;;
CUP;192;₱;Cuban peso;peso;₱CU;;;;;;;
CZK;203;Kč;Czech koruna;koruna;Kč;;;;;;;
GMD;270;D;Dalasi;dalasi;D;;;;;;;
DKK;208;kr;Danish krone;krone;kr;;;;;;;
MKD;807;ден;Denar;denar;ден;;;;;;;
DJF;262;Fr;Djibouti Franc;franc;FrDJ;;;;;;;
STN;930;Db;Dobra;dobra;Db;;;;;;;
DOP;214;RD$;Dominican peso;peso;RD$;;;;;;;
VND;704;₫;Dong;dong;₫;;;;;;;
XCD;951;$;East Caribbean Dollar;dollar;$XC;;;;;;;
EGP;818;£;Egyptian pound;pound;£EG;;;;;;;
SVC;222;$;El Salvador Colon;colon;$SV;;;;;;;
ETB;230;Br;Ethiopian Birr;birr;Br;;;;;;;
EUR;978;€;Euro;euro;€;;;;;;;
FKP;238;£;Falkland Islands pound;pound;£FK;;;;;;;
FJD;242;$;Fiji Dollar;dollar;$FJ;;;;;;;
SLL;925;Le;First Leone;leone;Le(SLL);;;;;;;
HUF;348;Ft;Forint;forint;Ft;;;;;;;
