ID,display,alpha_2,db_value,sort_factor,english_name
"bTWeZ","abk","ab","abk","1","Abkhazian"
"bTWea","aar","aa","aar","2","Afar"
"bTWeb","afr","af","afr","3","Afrikaans"
"bTWef","aka","ak","aka","4","Akan"
"bTWeg","alb","sq","alb","5","Albanian"
"bTWeh","amh","am","amh","6","Amharic"
"bTWel","ara","ar","ara","7","Arabic"
"bTWem","arg","an","arg","8","Aragonese"
"bTWen","arm","hy","arm","9","Armenian"
"bTWer","asm","as","asm","10","Assamese"
"bTWes","ava","av","ava","11","Avaric"
"bTWet","ave","ae","ave","12","Avestan"
"bTWex","aym","ay","aym","13","Aymara"
"bTWey","aze","az","aze","14","Azerbaijani"
"bTWez","bam","bm","bam","15","Bambara"
"bTWfD","bak","ba","bak","16","Bashkir"
"bTWfE","baq","eu","baq","17","Basque"
"bTWfF","bel","be","bel","18","Belarusian"
"bTWfJ","ben","bn","ben","19","Bengali"
"bTWfK","bih","bh","bih","20","Bihari"
"bTWfL","bis","bi","bis","21","Bislama"
"bTWfP","nob","nb","nob","22","Bokmål"
"bTWfQ","bos","bs","bos","23","Bosnian"
"bTWfR","bre","br","bre","24","Breton"
"bTWfV","bul","bg","bul","25","Bulgarian"
"bTWfW","bur","my","bur","26","Burmese"
"bTWfX","cat","ca","cat","27","Catalan"
"bTWfb","cha","ch","cha","28","Chamorro"
"bTWfc","che","ce","che","29","Chechen"
"bTWfd","nya","ny","nya","30","Chichewa"
"bTWfh","chi","zh","chi","31","Chinese"
"bTWfi","chv","cv","chv","32","Chuvash"
"bTWfj","cor","kw","cor","33","Cornish"
"bTWfn","cos","co","cos","34","Corsican"
"bTWfo","cre","cr","cre","35","Cree"
"bTWfp","hrv","hr","hrv","36","Croatian"
"bTWft","cze","cs","cze","37","Czech"
"bTWfu","dan","da","dan","38","Danish"
"bTWfv","div","dv","div","39","Divehi"
"bTWfz","dut","nl","dut","40","Dutch"
"bTWgA","dzo","dz","dzo","41","Dzongkha"
"bTWgB","eng","en","eng","42","English"
"bTWgF","epo","eo","epo","43","Esperanto"
"bTWgG","est","et","est","44","Estonian"
"bTWgH","ewe","ee","ewe","45","Ewe"
"bTWgL","fao","fo","fao","46","Faroese"
"bTWgM","fij","fj","fij","47","Fijian"
"bTWgN","fin","fi","fin","48","Finnish"
"bTWgR","fre","fr","fre","49","French"
"bTWgS","ful","ff","ful","50","Fulah"
"bTWgT","gla","gd","gla","51","Gaelic"
"bTWgX","glg","gl","glg","52","Galician"
"bTWgY","lug","lg","lug","53","Ganda"
