id,icon,singular,plural,in_sys_admin,in_dashboard,menu_group_id,inSysAdmin,table_tabs,form_tabs,max_form_width,max_table_width,has_search_filter,table_tabs,emoji
account,solar:user-id-bold,Account,Account information,,yes,account,yes,,,1280,,,,
allocation,lets-icons:transfer-right,Allocation,Allocations,,,system,yes,,,,,,,
annual_resolution,mdi:calendar-star,Annual resolution,Annual resolutions,,yes,flexup,yes,,,,,,,
associate,material-symbols:partner-exchange,Associate,Associates,,,system,yes,,,,,,,
balance,ic:round-horizontal-split,Balance,Balances,,,system,yes,,,,,,,
charter,iconamoon:certificate-badge-fill,Charter,Charter,,yes,flexup,yes,,,,,,,
commitment,fa6-regular:handshake,Commitment,Commitments,,yes,transactions,yes,,,,,,,
contract,mdi:file-sign,Contract,Contracts,,yes,transactions,yes,,,,,,,
conversion,material-symbols:conversion-path,Conversion,Conversions,,,system,yes,,,,,,,
country,ic:baseline-language,Country,Countries,,,system,yes,,,,,,,
currency,tabler:currency,Currency,Currencies,,,system,yes,,,,,,,
custodian,fa:bank,Custodian,Custodians,,,configuration,yes,,,,,,,
emoji,logos:hugging-face-icon,Emoji,Emojis,,,,,,,,,,,
equity,mdi:account-cash,Equity,Equity,,,system,yes,,,,,,,
grouping,lets-icons:group-light,Grouping,Groupings,,,system,yes,,,,,,,
icon,ph:smiley,Icon,Icons,yes,no,system,yes,emoji|built_in_icons,,,,,,
info,mdi:information-variant-circle-outline,Info,Info,,,,,,,,,,,
item,,Item,Items,,,,,,,,,,,
language,clarity:language-solid,Language,Languages,,,system,yes,,,,,,,
lettering,fluent:receipt-money-24-regular,Lettering,Lettering,,yes,transactions,yes,,,,,,,
member,codicon:organization,Member,Members,,yes,account,yes,all|admin|editor|viewer,,600,1280,true,,
monthly_resolution,mdi:calendar-refresh-outline,Monthly resolution,Monthly resolutions,,yes,flexup,yes,,,,,,,
membership,iconoir:network-reverse-solid,Membership,Memberships,,yes,user,yes,,,,,,,
navigation,mdi:compass-rose,Navigation,Navigation,yes,no,system,yes,info,,,,,,
order,material-symbols:order-approve-outline-rounded,Order,Orders,yes,yes,transactions,yes,all|buy|sell,item|payment_structure|commitment|lettering,1280,1280,true,all,
organization,f7:building-2,Organization,Organizations,,,system,yes,,,,,,,
overview,,Overview,Overview,,,,,,,,,,,
payment_structure,fa:tags,Payment structure,Payment structures,,yes,configuration,yes,,,,,,,
payment_term,clarity:tag-solid,Payment term,Payment terms,,yes,configuration,yes,all|system|custom,,1280,,true,,
payment,fluent:money-24-regular,Payment,Payments,,yes,transactions,yes,,,,,,,
pocket,mdi:wallet-bifold-outline,Pocket,Pockets,,,configuration,yes,,,,,,,
product,fluent-mdl2:product-variant,Product,Products,,yes,configuration,yes,,,600,960,true,,
reserve,mdi:cash-lock,Reserve,Reserves,,,system,yes,,,,,,,
status,pajamas:status-health,Status,Statuses,yes,no,system,yes,,,,,,,
subaccount,icon-park-outline:network-tree,Subaccount,Subaccounts,,,,,,,,,,,
pocket,solar:user-id-bold,test,tests,,,account,yes,,,,,,,
third_party,mdi:people-switch,Third-party,Third-parties,,yes,configuration,yes,all|global_account|public|private|local_account,info|contract|order|commitment|payment,,,,,
tranche,ic:outline-vertical-split,Tranche,Tranches,,,system,yes,,,,,,,
unspecified_account,bi:question-lg,Unspecified account,,,,,,,,,,,,❓
user,mdi:account-cog,User,Users,yes,yes,user,yes,,,,,,,
wallet,fluent:wallet-credit-card-24-filled,Wallet,Wallets,,yes,configuration,yes,,,,,,,
Display,,Display,,,,,,,,,,,,
sign_in,,Login,,,,,,,,,,,,
sign_up,,Register,,,,,,,,,,,,
success,,Success,,,,,,,,,,,,
onboarding,,Onboarding,,,,,,,,,,,,
buy,,Buy,,,,,,,,,,,,
sell,,Sell,,,,,,,,,,,,
inflow,,Inflow,Inflows,,,,,,,,,,,
outflow,,Outflow,Outflows,,,,,,,,,,,
all,,All,,,,,,,,,,,,
warning,fa:exclamation-triangle,Warning,,,,,,,,,,,,
attention,iconamoon:attention-circle,Attention,,,,,,,,,,,,
terms_of_service,,Terms of service,,,,,,,,,,,,
privacy_policy,,Privacy policy,,,,,,,,,,,,
presence,f7:scope,Presence,,,,,,,,,,,,
parent,,Parent,Parents,,,,,,,,,,,
account_type,,Account type,,,,,,,,,,,,
admin,,Admin,,,,,,,,,,,,
editor,,Editor,,,,,,,,,,,,
viewer,,Viewer,,,,,,,,,,,,
system,,System,,,,,,,,,,,,
custom,,Custom,,,,,,,,,,,,
online,ant-design:global-outlined,Online,,,,,,,,,,,,🌐
offline,f7:map-pin-ellipse,Offline,,,,,,,,,,,,📍
personal_account,material-symbols:person,Personal Account,,,,,,,,,,,,
business_account,mdi:briefcase,Business Account,,,,,,,,,,,,
shared_account,material-symbols:group,Shared Account,,,,,,,,,,,,
country,,Country,,,,,,,,,,,,
currency,,Currency,,,,,,,,,,,,
unit_system,,System unit,System units,,,,,,,,,,,
unit_custom,,Custom unit,Custom units,,,,,,,,,,,
reserve,,Reserve,Reserves,,,,,,,,,,,
resolution,,Resolution,Resolutions,,,,,,,,,,,
allocation,,Allocation,Allocations,,,,,,,,,,,
visibility,mdi:visibility-outline,Visibility,,,,,,,,,,,,
public,,Public,,,,,,,,,,,,
private,,Private,,,,,,,,,,,,
