"icon","info_en","navigation","plural","name","seeAlso","singular"
"mdi:file-sign","In the [u]FlexUp model[/u], a ""[b]contract[/b]"" is a legally binding agreement between two parties, the [b]supplier[/b] and the [b]client[/b], defining the terms and conditions for:[ol][li]the [b]products[/b] that the the supplier will [b]deliver[/b] to the client,[/li]
[li]the [b]remuneration[/b] that client will [b]pay[/b] the to the supplier in return for the delivery of products, and[/li]
[li]the [b]payment structure[/b], which determines how the remuneration will be paid, and thus the level of risk that the recipient taking on his remuneration.[/li][/ol]

In the above description, the following terms are meant in the widest sense:[ul][li][b]product[/b]: any commercial [b]contribution[/b] that you can provide in exchange for a [b]remuneration[/b]. This can be products, services, work, funding, real estate, other intangible assets, public services, etc.  Anything that has economic value.[/li]
[li][b]remuneration[/b]: any type of payment made by a client to a supplier in exchange for the delivery of products, such as for example: purchase price, fees, salary, price, interests, dividends, royalties, etc. Any form of cash payment.[/li]
[li][b]supplier[/b]: the party who is providing the product and is receiving the remuneration, such as for example: contractor, freelancer, consultant, employee, bank, investor, landlord, author, government, public entity, etc.[/li]
[li][b]client[/b]: the party who is receiving a product and is paying the remuneration, such as for example: customer, employer, funding recipient, tenant, tax payer, etc.[/li]
[li][b]payment structure[/b]: the split of the remuneration into one or more [b]tranches[/b], each with a specific [b]payment terms[/b].[/li][/ul]

In the [u]FlexUp app[/u], a contract also offers a convenient way manage one or more [b]orders[/b], where each order correspond to the delivery of a specific set of products (i.e. [b]order items[/b]). A contract may include one or more [b]orders[/b], which can be [b]confirmed[/b] upon contract [b]signature[/b], or later on. 

The contract information provided below is used in all related orders as follows:[ul][li]to automatically [b]populate[/b] the key order information [i](supplier, client, currency, etc.)[/i],[/li]
[li]to provide [b]default values[/b] for payment structure and products,[/li]
[li]to provide a list of [b]available options[/b] for products and payment structure (in addition to the default values).[/li][/ul]

Contracts also allow to:
- have an overview of the aggregate value of all related orders,
- to create recurring contracts,
- etc.","contract","Contracts","contract","","Contract"
"fa6-regular:handshake","The process, executed at least once per year, starting with an allotment allocation, followed by 5 annual allocations (strategic, capital buyback, distribution, share buyback and endowment reserves) and 3 subsequent annual resolutions (capital buyback, distribution, share buyback resolutions).

","annual-resolution","Commitments","annual-resolution","","Commitment"
"material-symbols:order-approve-outline-rounded","A [b]lettering [/b]is used to [b]commitments[/b] to [b]payments[/b].

A single commitment can be paid in multiple payments.
[ml][ul][li indent=0 align=left]For example, to pay 1000 €, you could make a bank transfer of 600 € and pay the remaining 400 € in cash.[/li][/ul][/ml]
Similarly, a single payment can cover multiple commitments.
[ml][ul][li indent=0 align=left]For example, you could pay your last 2 electricity bills (25 € and 30 € respectively) in one shot with a 55 € visa card payment.[/li][/ul][/ml]
In order to keep track of what has been paid when, we use a [b]lettering[/b] system:
[ml][ul][li indent=0 align=left]each [b]commitment[/b] can be split between one or more lettering amounts,[/li][li indent=0 align=left]each [b]payment[/b] can be split between one or more lettering amounts,[/li][li indent=0 align=left]each lettering amount is related to a single commitment and a single payment.[/li][/ul][/ml]
A commitment has been paid in full when the sum of all its related letterings is equal to the the commitment's payable amount.","lettering","Orders","lettering","","Order"
"fluent:money-24-regular","In the [url=https://FlexUp model]FlexUp model[/url], the ""Charter"" is the contractual framework describing the workings of the FlexUp Model. When adopted by an account (which thereby becomes a “FlexUp Project” or simply a “Project”), the Charter defines the terms of development and management of the Project by its Holder, and the terms of collaboration between the Holder and the Associates of the Project, in order to associate them with the development, risks and results of the Project.","charter","Payments","charter","","Payment"
"ion:pin","An [b]offline account[/b] is an account that is not actively managed in the FlexUp app and has no [b]members[/b].
[ml][ul][li indent=0 align=left]You can create a offline account for a [b]third-party[/b] that:[/li][ul data=1][li indent=1 align=left]does not have a FlexUp account, or[/li][li indent=1 align=left]that you do not wish to interact with via the FlexUp app.[/li][/ul][li indent=0 align=left]You can create a offline account to register transactions with this third-party, but this third-party account, and all the transactions that you register with it in the system, will only be visible to you in your current account interface.[/li][li indent=0 align=left]You can freely change content and the [b]status[/b] of all transactions with a local third-party account (for example, you can mark an order as ""Confirmed"").[/li][li indent=0 align=left]Offline accounts are convenient to register transactions with third-parties that don't use the system, or for third-parties whose transactions you don't need to manage individually.[/li][ul data=1][li indent=1 align=left]For example, you can create a offline third-party named ""Other suppliers"" to group all miscellaneous orders and payments with various suppliers.[/li][/ul][/ul][/ml][i][size=1][color=rgb(187, 187, 187)]In a future version of the FlexUp app you will be able invite the related third-party to ""claim"" this offline account and convert it into a online account. In this case, all transactions that you have already registered will be automatically visible by them, and their status will be rest to ""sent"" (giving them the option of ""accept"" them individually). If this third-party already has an online account (different form the local account that you created), he will be able to ""merge"" these accounts, and incorporate the transactions that you created with your ""offline"" account into his ""online"" account. [/color][/size][/i]","offline","Offline","offline","online","Offline"
"fluent-mdl2:product-variant","In the FlexUp model, the term ""[url=https://www.notion.so/flexup/Product-1ccc2cc174f04246b6cb6ec3125a35ed][b]product[/b][/url]"" is meant in the widest possible sense to include any commercial [b]contribution[/b] that you can provide in exchange for a [b]remuneration[/b]. This can be products, services, work, funding, real estate, other intangible assets, ... anything that has economic value.

See more info in [color=blue][url=https://www.notion.so/flexup/Product-1ccc2cc174f04246b6cb6ec3125a35ed]product[/url][/color]","product","Products","product","","Product"
"mdi:people-switch","A [b]third party[/b] is any account other than the current account. It can represent a client or a supplier. 

A third-party can be:
- an [b]active[/b] account: this is an account that has at least one active member,
- a [b]local[/b] account: this is a ""virtual"" account that has been created by, and is only visible by, the the current account. It has not yet been shared/claimed by the ""real"" third-party that it represents in the system.

You can create a local account to keep track of transactions with a third-party that is not registered in the system.

Whenever you add an account (active or local) to your [b]third-party directory[/b], the system associates it with some default values for:
- role (client or supplier),
- currency, country,
- order/contract nature/type,
- applicable charter (if any).

This streamlines the process of creating new contracts/orders with this third-party in the future.

In the FlexUp model, the term [b]third party[/b] means any account other than this [b]current account [/b](the one you are currently active in).

This table shows the custom third parties directory directory for this current account, which includes all the third party accounts that have been ""bookmarked"" to this current account.

This includes all third parties which you have:
[ul]
[li]added to your [b]favourites[/b],[/li]
[li]made [b]transactions[/b] with (contracts, orders, payments, etc.),[/li]
[li]created [b]locally[/b] (i.e.: these are not active accouts yet, they are only visible in this this account). You can send them an email invitation to activate their account.[/li]
[/ul]

Accounts in this custom third parties directory will appear first (and faster) in dropdown lists whenever you create a new transaction. You can [b]archive[/b] a third party that you don't want them to show first in such lists.","third-party","Third-parties","third-party","","Third-party"
"ph:globe","A [b]online account[/b] is actively managed by one or more [b]members[/b] (registered [b]users[/b]) and is registered in the FlexUp [b]public accounts directory[/b].
[ml][ul][li indent=0 align=left]You can create an online account for someone or something that will use it to manage its own activity and interact with other accounts via the FlexUp app.[/li][li indent=0 align=left]All [b]transactions[/b] (contracts, orders, payments) with a online account are jointly managed with them via the FlexUp app.[/li][li indent=0 align=left]Any [b]transaction[/b] that you create or modify, from your own account interface, with a third-party online account, will also be seen by them in their own account interface.[/li][li indent=0 align=left]This means that you both see the same transaction in your respective accounts.[/li][ul data=1][li indent=1 align=left]For example, you can create and send an order to a third-party online account, and they will see the order pop up in their account interface and can then accept or reject it.[/li][/ul][li indent=0 align=left]In most cases, you cannot unilaterally change a transaction (modify its content or change it [b]status[/b]) with a third-party online account but you must send/submit them via the FlexUp app for their review and approval.[/li][ul data=1][li indent=1 align=left]For example, you cannot mark an order as ""Confirmed"". But you can send the order to the third-party and wait for it to accept it. Once accepted, the order status is then updated by the system to ""Confirmed"".[/li][/ul][li indent=0 align=left]A global account should have at least 1 [b]member[/b].[/li][li indent=0 align=left]When you create an online account:[/li][ul data=1][li indent=1 align=left]You are automatically a [b]member[/b] of this account with an ""[b]Admin 🔑[/b]"" role, and this account will appear in the list of accounts that you are a member of (""My memberships"").[/li][li indent=1 align=left]You must confirm that you are [u]duly authorised[/u] to create this account on behalf of its owner(s)..[/li][/ul][li indent=0 align=left]Once the account is created, you can then invite other [b]members[/b].[/li][/ul][/ml]","online","Online","online","offline","Online"
"clarity:tag-solid","A [b]business account[/b] represents and belongs to an [b]organization[/b]. 
[ml][ul][li indent=0 align=left]An organization is a [u]juridical person[/u]: an entity which has a legal personality and is duly registered, such as a company, an NGO, a registered professional or a public entity. [/li][li indent=0 align=left]A user can create, edit or view a business accounts only if they have been [u]duly authorized[/u] by this organization. [/li][li indent=0 align=left]An organization can only have [u]one[/u] business account (which is the organization's ""[b]main[/b]"" account).[/li][/ul][/ml]","business-account","Payment terms","business-account","","Payment term"
"fa:tags","A [b]shared account[/b] this represents and belongs to a [b]grouping[/b]. 
[ml][ul][li indent=0 align=left]A grouping is a contractually defined partnership between a collection of ""[b]constituents[/b]"" that jointly own this account.[/li][li indent=0 align=left]A grouping does [u]not[/u] have a [u]legal personality[/u] (it is [u]neither[/u] a physical person nor a juridical person).[/li][li indent=0 align=left]Each constituent is represented by an account, which can be of any type.[/li][li indent=0 align=left]Shared accounts are co-owned by their constituents' respective owners.[/li][li indent=0 align=left]They can be used for collective projects or activities involving multiple participants, but for which no one is taking a leading role as the project’s sole owner.[/li][li indent=0 align=left]A grouping can only have [u]one[/u] shared account (which is the grouping's ""[b]main[/b]"" account).[/li][li indent=0 align=left]Any type of account can join a grouping, but they must sign all sign the [b]grouping agreement[/b] which defines the roles and responsibilities of each constituent.[/li][/ul][/ml]","shared-account","Payment structures","shared-account","","Payment structure"
"mdi:calendar-star","","status","Annual resolutions","status","","Annual resolution"
